# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	2975
#@/user_id	ArchLinux
a 	啊	c=2 d=0.674602 t=2975
a 	阿	c=4 d=0.285863 t=2975
a ke 	阿科	c=4 d=2.55263 t=2975
a li 	阿里	c=1 d=0.00673795 t=2975
ai 	唉	c=1 d=0.0428521 t=2975
ai 	愛	c=1 d=0.647265 t=2975
ai rong chong 	埃榮衝	c=1 d=0.179964 t=2975
an pai 	安排	c=2 d=0.620765 t=2975
an zhao 	按照	c=1 d=0.313486 t=2975
an zhuang 	安裝	c=17 d=4.10295 t=2975
an zhuo 	安卓	c=1 d=0.0742736 t=2975
ao 	奧	c=1 d=0.151829 t=2975
ba 	吧	c=15 d=2.34192 t=2975
ba 	把	c=27 d=3.76288 t=2975
ban ben 	版本	c=4 d=0.809096 t=2975
ban gong shi 	辦公室	c=3 d=0.532114 t=2975
ban ka 	板卡	c=5 d=2.49797 t=2975
ban zai 	板載	c=1 d=0.609571 t=2975
bang 	邦	c=1 d=0.0209629 t=2975
bang mang 	幫忙	c=3 d=1.30648 t=2975
bao 	包	c=3 d=0.488259 t=2975
bao chi 	保持	c=3 d=0.362402 t=2975
bao cun 	保存	c=1 d=0.375311 t=2975
bao cuo 	報錯	c=3 d=0.086391 t=2975
bao gong 	包公	c=1 d=0.168638 t=2975
bao shi jie 	保時捷	c=1 d=0.171187 t=2975
bei 	唄	c=1 d=0.625002 t=2975
bei 	被	c=2 d=0.10927 t=2975
bei jing 	北京	c=2 d=0.532592 t=2975
ben 	本	c=1 d=0.190139 t=2975
ben di 	本地	c=9 d=2.98153 t=2975
bi 	比	c=2 d=0.019758 t=2975
bi ji ben 	筆記本	c=1 d=0.0206508 t=2975
bi jiao 	比較	c=2 d=0.514932 t=2975
bi jiao shao 	比較少	c=1 d=0.26054 t=2975
bi ru 	比如	c=1 d=0.532592 t=2975
bian cheng 	變成	c=1 d=0.937068 t=2975
bian hua 	變化	c=2 d=0.932393 t=2975
bian huan 	變換	c=1 d=0.57695 t=2975
bian li 	遍歷	c=1 d=0.024972 t=2975
bian liang 	變量	c=1 d=0.191092 t=2975
bian yi 	編譯	c=13 d=3.27734 t=2975
bian yi qi 	編譯器	c=3 d=0.373439 t=2975
bie 	別	c=2 d=1.06886 t=2975
bing xing 	並行	c=1 d=0.0620385 t=2975
bo hao 	撥號	c=1 d=0.412714 t=2975
bu 	不	c=6 d=0.799626 t=2975
bu 	步	c=1 d=0.0934807 t=2975
bu bu 	步步	c=1 d=0.0515604 t=2975
bu chong 	補充	c=1 d=0.390628 t=2975
bu ding 	補丁	c=1 d=0.00472447 t=2975
bu dui 	不對	c=1 d=0.386741 t=2975
bu gen 	不跟	c=1 d=0.00332928 t=2975
bu gui fan 	不規範	c=1 d=0.0720785 t=2975
bu guo 	不過	c=3 d=0.896707 t=2975
bu he shi 	不合適	c=1 d=0.519442 t=2975
bu hui 	不會	c=2 d=1.08448 t=2975
bu jia 	補假	c=1 d=0.532592 t=2975
bu jian yi 	不建議	c=2 d=1.0732 t=2975
bu jiu shi 	不就是	c=1 d=0.606531 t=2975
bu kao pu 	不靠譜	c=2 d=0.563959 t=2975
bu ma 	補碼	c=1 d=0.582748 t=2975
bu nan 	不難	c=1 d=0.109701 t=2975
bu neng 	不能	c=4 d=1.00571 t=2975
bu shan 	不閃	c=1 d=0.369723 t=2975
bu shao 	不少	c=0 d=0.000278085 t=2975
bu shao qian 	不少錢	c=1 d=0.00279478 t=2975
bu shi 	不是	c=6 d=0.986662 t=2975
bu tai 	不太	c=1 d=0.017163 t=2975
bu tong 	不同	c=2 d=0.0518928 t=2975
bu tong 	不通	c=4 d=1.04325 t=2975
bu wen ding 	不穩定	c=1 d=1 t=2975
bu xing 	不行	c=3 d=0.755784 t=2975
bu yi zhi 	不一致	c=3 d=0.170452 t=2975
bu ying gai 	不應該	c=3 d=2.43793 t=2975
bu yong 	不用	c=5 d=2.14351 t=2975
bu yun xu 	不允許	c=1 d=0.0188734 t=2975
bu zai 	不再	c=1 d=0.0547488 t=2975
bu zhi chi 	不支持	c=2 d=0.904837 t=2975
bu zhuo 	捕捉	c=1 d=0.186374 t=2975
bu zuo 	不做	c=1 d=0.0555762 t=2975
cai neng 	才能	c=1 d=0.489192 t=2975
can kao 	參考	c=2 d=0.885462 t=2975
cang ku 	倉庫	c=8 d=0.601626 t=2975
cao zuo 	操作	c=5 d=1.05972 t=2975
cd 	cd	c=1 d=0.965605 t=2975
ce 	側	c=1 d=0.519442 t=2975
ce shi 	測試	c=7 d=1.21938 t=2975
cha ba 	插拔	c=1 d=0.0575558 t=2975
cha jian 	插件	c=1 d=1 t=2975
cha kan 	察看	c=2 d=0.119167 t=2975
cha kan 	查看	c=1 d=0.323033 t=2975
cha ru 	插入	c=1 d=0.425283 t=2975
cha xun 	查詢	c=1 d=0.618783 t=2975
cha yi 	差異	c=1 d=0.0485578 t=2975
