# Rime user dictionary
#@/db_name	luna_pinyin_simp
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	44474
#@/user_id	ArchLinux
a 	啊	c=9 d=1 t=42959
a 	阿	c=66 d=1.59621 t=44181
a hui 	阿辉	c=2 d=1 t=43920
a ke 	阿科	c=49 d=5.67286 t=44474
a li 	阿里	c=3 d=0.1 t=41407
a li ba ba 	阿里巴巴	c=1 d=1 t=6811
a li yun 	阿里云	c=1 d=1 t=41408
ai 	唉	c=15 d=1.00069 t=39152
ai sai 	埃赛	c=1 d=1 t=125
an 	按	c=17 d=1 t=42718
an dao li 	按道理	c=1 d=1 t=44011
an li 	安利	c=1 d=1 t=750
an mo 	按摩	c=1 d=1 t=38192
an pai 	安排	c=8 d=1 t=39651
an quan 	安全	c=1 d=1 t=1058
an tu 	安圖	c=3 d=1 t=10052
an xu 	按需	c=1 d=1 t=12096
an zhao 	按照	c=15 d=1 t=28432
an zhu 	按住	c=1 d=1 t=15053
an zhuang 	安裝	c=107 d=1.23217 t=44376
ang shan su ji 	昂山素姬	c=2 d=1.99501 t=7460
ao 	奥	c=1 d=1 t=38250
ao di 	奧迪	c=1 d=1 t=15182
ba 	吧	c=315 d=2.22056 t=44474
ba 	把	c=306 d=1.08037 t=44389
ba 	霸	c=2 d=1.00001 t=3386
ba ba 	爸爸	c=1 d=1 t=33227
ba gong 	罷工	c=2 d=1.20909 t=9834
ba kai nv 	扒开女	c=1 d=1 t=15625
ba le 	拔了	c=1 d=1 t=43378
ba ni 	把你	c=1 d=1 t=27304
ba ta 	把它	c=1 d=1 t=19414
ba wo 	把握	c=3 d=1 t=35695
ba zhan 	霸佔	c=1 d=1 t=32378
bai deng 	拜登	c=1 d=1 t=18946
bai du 	百度	c=1 d=1 t=33167
bai jiu 	白酒	c=3 d=2.98506 t=33419
bai ling hai xia 	白令海峽	c=2 d=1.99501 t=6166
bai tai 	百態	c=0 d=0.1 t=38885
bai tai hao 	百態好	c=1 d=1 t=38886
bai zai 	擺在	c=1 d=1 t=25242
ban 	板	c=7 d=1 t=43215
ban ben 	版本	c=160 d=3.53491 t=44419
ban dao ti 	半導體	c=1 d=1 t=7135
ban fa 	辦法	c=5 d=1 t=38050
ban ge 	半個	c=1 d=1 t=18903
ban ge xiao shi 	半個小時	c=1 d=1 t=6061
ban ge yue 	半個月	c=1 d=1 t=9175
ban gong 	辦公	c=5 d=1 t=19898
ban gong shi 	辦公室	c=9 d=1 t=43908
ban jing 	半徑	c=1 d=1 t=13677
ban ka 	板卡	c=54 d=2.89027 t=43027
ban nian 	半年	c=1 d=1 t=40824
ban wa gong 	板瓦工	c=1 d=1 t=39596
ban xiao shi 	半小時	c=5 d=1.99501 t=15060
ban yi 	搬移	c=19 d=1.00676 t=42233
ban zi 	板子	c=98 d=1.0058 t=33018
bang 	帮	c=3 d=1 t=43681
